Time,SoC (%),Bat Voltage (V),Bat Current (A),Sol Current (A)
00:00:05,100.00,25.11,0.35,0.21
00:00:06,100.00,25.11,0.34,0.21
00:00:08,100.00,25.11,0.34,0.21
00:00:09,100.00,25.11,0.35,0.21
00:00:10,100.00,25.11,0.34,0.21
00:00:12,100.00,25.07,0.34,0.21
00:00:13,100.00,25.08,0.34,0.21
00:00:14,100.00,25.08,0.35,0.21
00:00:16,100.00,25.08,0.35,0.21
00:00:17,100.00,25.08,0.34,0.21
00:00:19,100.00,25.08,0.34,0.21
00:00:20,100.00,25.08,0.34,0.21
00:00:21,100.00,25.08,0.34,0.21
00:00:23,100.00,25.08,0.34,0.21
00:00:24,100.00,25.08,0.34,0.21
00:00:25,100.00,25.08,0.34,0.21
00:00:27,100.00,25.09,0.34,0.21
00:00:28,100.00,25.09,0.34,0.21
00:00:30,100.00,25.09,0.35,0.21
00:00:31,100.00,25.09,0.35,0.21
00:00:32,100.00,25.09,0.34,0.21
00:00:34,100.00,25.09,0.34,0.21
00:00:35,100.00,25.09,0.34,0.21
00:00:37,100.00,25.09,0.35,0.21
00:00:38,100.00,25.09,0.35,0.21
00:00:39,100.00,25.09,0.34,0.21
00:00:41,100.00,25.09,0.35,0.21
00:00:42,100.00,25.09,0.35,0.21
00:00:43,100.00,25.09,0.35,0.21
00:00:45,100.00,25.10,0.35,0.21
00:00:46,100.00,25.09,0.38,0.19
00:00:48,100.00,25.09,0.42,0.18
00:00:49,100.00,25.09,0.41,0.19
00:00:50,100.00,25.10,0.41,0.19
00:00:52,100.00,25.09,0.40,0.19
00:00:53,100.00,25.10,0.40,0.18
00:00:54,100.00,25.10,0.40,0.19
00:00:56,100.00,25.10,0.40,0.19
00:00:57,100.00,25.10,0.40,0.18
00:00:59,100.00,25.10,0.40,0.19
00:01:00,100.00,25.10,0.40,0.19
00:01:01,100.00,25.09,0.40,0.19
00:01:03,99.99,24.83,1.89,0.19
00:01:04,99.98,25.08,6.24,0.17
00:01:06,99.98,25.09,0.39,0.17
00:01:07,99.98,25.07,0.38,0.17
00:01:08,99.98,25.07,0.39,0.18
00:01:10,99.98,25.07,0.39,0.18
00:01:11,99.98,25.08,0.39,0.18
00:01:12,99.98,25.08,0.39,0.18
00:01:14,99.98,25.08,0.39,0.18
00:01:15,99.98,25.08,0.38,0.18
00:01:17,99.98,25.08,0.37,0.18
00:01:18,99.98,25.08,0.38,0.18
00:01:19,99.98,25.08,0.37,0.17
00:01:21,99.98,25.08,0.37,0.18
00:01:22,99.98,25.08,0.37,0.18
00:01:23,99.98,25.08,0.37,0.18
00:01:25,99.98,25.08,0.37,0.18
00:01:26,99.98,25.08,0.37,0.18
00:01:28,99.98,25.08,0.38,0.18
00:01:29,99.98,25.08,0.37,0.17
00:01:30,99.98,25.08,0.38,0.18
00:01:32,99.98,25.08,0.37,0.18
00:01:33,99.98,25.08,0.37,0.17
00:01:34,99.98,25.08,0.37,0.18
00:01:36,99.98,25.08,0.37,0.17
00:01:37,99.98,25.08,0.37,0.17
00:01:39,99.98,25.09,0.37,0.18
00:01:40,99.98,25.08,0.37,0.18
00:01:41,99.98,25.08,0.37,0.18
00:01:43,99.98,25.08,0.37,0.18
00:01:44,99.98,25.09,0.37,0.18
00:01:46,99.98,25.08,0.37,0.18
00:01:47,99.98,25.08,0.37,0.18
00:01:48,99.98,25.08,0.37,0.19
00:01:50,99.98,25.07,0.37,0.20
00:01:51,99.98,25.08,0.37,0.21
00:01:52,99.98,25.07,0.38,0.21
00:01:54,99.98,25.07,0.37,0.20
00:01:55,99.98,25.04,0.38,0.29
00:01:57,99.98,25.02,0.37,0.22
00:01:58,99.98,25.03,0.37,0.22
00:01:59,99.98,25.03,0.38,0.22
00:02:01,99.98,25.03,0.38,0.22
00:02:02,99.98,25.03,0.37,0.22
00:02:03,99.98,25.03,0.37,0.22
00:02:05,99.98,25.04,0.38,0.22
00:02:06,99.98,25.04,0.38,0.21
00:02:08,99.98,25.04,0.37,0.20
00:02:09,99.98,25.04,0.37,0.20
00:02:10,99.98,25.04,0.37,0.20
00:02:12,99.98,25.04,0.37,0.20
00:02:13,99.98,25.04,0.37,0.20
00:02:15,99.98,25.05,0.37,0.20
00:02:16,99.98,25.05,0.37,0.20
00:02:17,99.98,25.05,0.37,0.20
00:02:19,99.98,25.05,0.37,0.20
00:02:20,99.98,25.05,0.37,0.19
00:02:21,99.98,25.05,0.37,0.20
00:02:23,99.98,25.05,0.37,0.19
00:02:24,99.98,25.05,0.37,0.20
00:02:26,99.98,25.05,0.37,0.20
00:02:27,99.98,25.06,0.37,0.20
00:02:28,99.98,25.06,0.37,0.20
00:02:30,99.98,25.06,0.37,0.20
00:02:31,99.98,25.07,0.37,0.19
00:02:32,99.98,25.07,0.37,0.19
00:02:34,99.98,25.07,0.37,0.20
00:02:35,99.98,25.07,0.36,0.19
