Time,SoC (%),Bat Voltage (V),Bat Current (A),Sol Current (A)
00:00:09,102.32,25.15,0.39,1.28
00:00:11,102.32,25.15,0.39,11.41
00:00:12,102.32,25.15,0.39,4.78
00:00:13,102.32,25.15,0.39,0.23
00:00:15,102.32,25.15,0.39,0.29
00:00:16,102.32,25.15,0.39,5.81
00:00:17,102.32,25.15,0.39,11.36
00:00:19,102.32,25.15,0.39,11.39
00:00:20,102.32,25.15,0.38,1.33
00:00:22,102.32,25.15,0.39,5.06
00:00:23,102.28,23.77,14.24,0.15
00:00:24,102.11,23.65,57.17,0.09
00:00:26,102.06,25.03,17.01,0.14
00:00:27,101.94,23.74,42.94,0.11
00:00:29,101.94,25.01,0.49,0.15
00:00:30,101.94,25.03,0.49,0.15
00:00:31,101.94,25.05,0.40,0.16
00:00:33,101.94,25.06,0.35,0.22
00:00:34,101.94,25.06,0.35,0.22
00:00:35,101.94,25.07,0.36,1.00
00:00:37,101.94,25.08,0.36,11.60
00:00:38,101.94,25.08,0.35,11.60
00:00:40,101.94,25.08,0.36,4.85
00:00:41,101.94,25.09,0.35,4.08
00:00:42,101.94,25.09,0.36,4.55
00:00:44,101.94,25.10,0.35,11.67
00:00:45,101.94,25.09,0.36,5.91
00:00:46,101.94,25.10,0.35,14.20
00:00:48,101.94,25.10,0.35,14.01
00:00:49,101.94,25.10,0.36,13.75
00:00:51,101.94,25.10,0.35,12.98
00:00:52,101.94,25.10,0.35,11.39
00:00:53,101.94,25.11,0.35,11.31
00:00:55,101.94,25.10,0.35,11.25
00:00:56,101.94,25.10,0.35,11.21
00:00:57,101.94,25.10,0.35,11.17
00:00:59,101.94,25.10,0.34,11.17
00:01:00,101.94,25.10,0.34,11.13
00:01:02,101.94,25.10,0.35,11.12
00:01:03,101.94,25.10,0.34,11.12
00:01:04,101.94,25.10,0.34,11.11
00:01:06,101.94,25.10,0.34,11.11
00:01:07,101.94,25.10,0.35,11.11
00:01:09,101.94,25.10,0.35,11.10
00:01:10,101.94,25.11,0.35,6.74
00:01:11,101.88,23.69,19.99,0.15
00:01:13,101.72,23.64,54.58,0.10
00:01:14,101.57,23.68,50.25,0.10
00:01:15,101.43,23.67,49.57,0.11
00:01:17,101.29,23.64,48.24,0.11
00:01:18,101.15,23.66,46.64,0.11
00:01:20,101.02,23.59,45.02,0.11
00:01:21,100.88,23.61,46.25,0.11
00:01:22,100.75,23.56,44.85,0.11
00:01:24,100.62,23.57,45.71,0.11
00:01:25,100.49,23.53,44.70,0.11
00:01:26,100.36,23.53,45.24,0.11
00:01:28,100.23,23.49,44.36,0.11
00:01:29,100.09,23.51,45.18,0.11
00:01:31,99.96,23.47,44.07,0.11
00:01:32,99.83,23.48,45.14,0.11
00:01:33,99.70,23.45,43.80,0.11
00:01:35,99.57,23.46,44.85,0.11
00:01:36,99.45,23.41,43.78,0.11
00:01:38,99.31,23.42,44.91,0.11
00:01:39,99.19,23.40,43.91,0.11
00:01:40,99.05,23.39,44.75,0.10
00:01:42,98.93,23.37,43.92,0.08
00:01:43,98.80,23.36,44.36,0.08
00:01:44,98.67,23.36,44.08,0.08
00:01:46,98.54,23.34,43.64,0.08
00:01:47,98.41,23.35,44.14,0.08
00:01:49,98.28,23.32,43.50,0.09
00:01:50,98.15,23.33,44.24,0.08
00:01:51,98.03,23.30,43.56,0.08
00:01:53,97.90,23.29,43.60,0.08
00:01:54,97.77,23.29,44.34,0.08
00:01:55,97.64,23.26,43.84,0.09
00:01:57,97.62,24.44,8.13,0.12
00:01:58,97.58,23.25,14.56,0.11
00:02:00,97.48,24.42,33.85,0.09
00:02:05,96.97,23.24,44.99,0.07
00:02:06,96.84,23.23,44.80,0.08
00:02:08,96.71,23.23,44.16,0.08
00:02:13,96.21,23.15,43.22,0.09
00:02:20,95.62,23.09,26.90,0.10
00:02:23,95.37,23.10,43.09,0.09
00:02:29,94.86,23.08,43.22,0.09
00:02:34,94.37,23.02,42.41,0.09
00:02:41,93.74,22.99,42.67,0.09
00:02:45,93.43,22.96,35.03,0.10
00:02:48,93.18,22.94,43.50,0.09
00:02:51,92.93,22.92,42.35,0.09
00:02:52,92.80,22.91,42.45,0.09
00:02:53,92.68,22.89,42.26,0.09
00:02:55,92.56,22.89,42.40,0.09
00:03:06,91.57,22.80,42.42,0.09
00:03:07,91.44,22.79,42.38,0.08
00:03:13,90.95,22.75,42.16,0.09
00:03:14,90.82,22.74,41.87,0.08
00:03:15,90.70,22.73,41.90,0.08
00:03:24,89.97,22.65,42.00,0.08
00:03:25,89.85,22.64,41.76,0.09
00:03:27,89.72,22.63,41.99,0.09
00:03:28,89.60,22.63,41.92,0.08
00:03:29,89.48,22.59,41.65,0.09
00:03:31,89.36,22.61,41.61,0.08
00:03:32,89.24,22.60,41.52,0.08
00:03:33,89.11,22.59,41.77,0.08
