Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0.00:0.00,100.00,0.07,0.17,-0.15
0.00:0.00,100.00,0.07,0.17,-0.15
0.00:0.00,100.00,0.07,0.17,-0.15
0.00:0.00,100.00,0.07,0.18,-0.14
0.00:0.00,100.00,0.07,0.18,-0.14
0.00:0.00,100.00,0.07,0.18,-0.14
0.00:0.00,100.00,0.07,0.18,-0.14
0.00:0.00,100.00,0.07,0.18,-0.14
0.00:0.00,100.00,0.07,0.18,-0.13
0.00:0.00,100.00,0.07,0.18,-0.13
0.00:0.00,100.00,0.07,0.18,-0.13
0.00:0.00,100.00,0.07,0.18,-0.14
0.00:0.00,100.00,0.07,0.17,-0.14
0.00:0.00,100.00,0.07,0.15,-0.15
0.00:0.00,100.00,0.07,0.16,-0.15
0.00:0.00,100.00,0.07,0.16,-0.15
0.00:0.00,100.00,0.07,0.17,-0.14
0.00:0.00,100.00,0.03,0.51,0.20
0.00:0.00,100.00,0.04,0.43,0.13
0.00:0.00,100.00,0.04,0.45,0.15
0.00:0.00,99.99,0.04,0.44,0.13
0.00:0.00,99.99,0.04,0.50,0.19
0.00:0.00,99.99,0.04,0.48,0.17
0.00:0.00,99.99,0.04,0.45,0.15
0.00:0.00,99.99,0.04,0.44,0.14
0.00:0.00,99.99,0.04,0.45,0.15
0.00:0.00,99.99,0.04,0.48,0.17
0.00:0.00,99.99,0.04,0.48,0.17
0.00:0.00,99.98,0.04,0.48,0.17
0.00:0.00,99.98,0.04,0.50,0.19
0.00:0.00,99.98,0.04,0.50,0.19
0.00:0.00,99.98,0.04,0.52,0.22
0.00:0.00,99.98,0.04,0.56,0.26
0.00:0.00,99.98,0.04,0.63,0.34
0.00:0.00,99.97,0.04,0.68,0.38
0.00:0.00,99.97,0.04,0.59,0.29
0.00:0.00,99.97,0.04,0.61,0.31
0.00:0.00,99.97,0.04,0.59,0.29
0.00:0.00,99.97,0.04,0.56,0.26
0.00:0.00,99.97,0.04,0.53,0.23
0.00:0.00,99.96,0.04,0.50,0.20
0.00:0.00,99.96,0.04,0.55,0.25
0.00:0.00,99.96,0.04,0.60,0.30
0.00:0.00,99.96,0.04,0.59,0.29
0.00:0.00,99.96,0.04,0.59,0.29
0.00:0.00,99.96,24.95,0.62,0.32
0.00:0.00,99.95,24.96,0.60,0.30
0.00:0.00,99.95,24.96,0.59,0.30
0.00:0.00,99.95,24.96,0.59,0.29
0.00:0.00,99.95,24.96,0.59,0.29
0.00:0.00,99.95,24.96,0.58,0.29
0.00:0.00,99.94,24.96,0.60,0.30
0.00:0.00,99.94,24.96,0.60,0.30
0.00:0.00,99.94,24.96,0.60,0.30
0.00:0.00,99.94,24.96,0.60,0.30
0.00:0.00,99.94,24.96,0.63,0.34
0.00:0.00,99.94,24.96,0.63,0.33
0.00:0.00,99.93,24.96,0.60,0.31
0.00:0.00,99.93,24.96,0.58,0.29
0.00:0.00,99.93,24.96,0.58,0.29
0.00:0.00,99.93,24.96,0.59,0.30
0.00:0.00,99.93,24.96,0.57,0.28
0.00:0.00,99.93,24.96,0.58,0.29
0.00:0.00,99.92,24.96,0.56,0.27
0.00:0.00,99.92,24.96,0.59,0.29
0.00:0.00,99.92,24.96,0.56,0.27
0.00:0.00,99.92,24.96,0.59,0.30
0.00:0.00,99.92,24.96,0.59,0.29
0.00:0.00,99.92,24.96,0.56,0.27
0.00:0.00,99.91,24.96,0.58,0.28
0.00:0.00,99.91,24.96,0.57,0.28
0.00:0.00,99.91,24.96,0.62,0.32
0.00:0.00,99.91,24.96,0.61,0.31
0.00:0.00,99.91,24.96,0.59,0.29
0.00:0.00,99.91,24.96,0.57,0.28
0.00:0.00,99.90,24.96,0.56,0.27
0.00:0.00,99.90,24.96,0.56,0.27
0.00:0.00,99.90,24.96,0.56,0.27
0.00:0.00,99.90,24.96,0.54,0.24
0.00:0.00,99.90,24.96,0.52,0.23
0.00:0.00,99.90,24.96,0.53,0.24
0.00:0.00,99.89,24.96,0.56,0.27
0.00:0.00,99.89,24.96,0.55,0.25
0.00:0.00,99.89,24.96,0.58,0.28
0.00:0.00,99.89,24.96,0.60,0.30
0.00:0.00,99.89,24.96,0.62,0.31
0.00:0.00,99.89,24.96,0.62,0.32
0.00:0.00,99.88,24.96,0.63,0.32
0.00:0.00,99.88,24.96,0.63,0.33
0.00:0.00,99.88,24.96,0.64,0.35
0.00:0.00,99.88,24.96,0.64,0.34
0.00:0.00,99.88,24.96,0.62,0.32
0.00:0.00,99.87,24.96,0.61,0.31
0.00:0.00,99.87,24.96,0.62,0.32
0.00:0.00,99.87,24.96,0.61,0.31
0.00:0.00,99.87,24.96,0.61,0.31
0.00:0.00,99.87,24.96,0.61,0.31
