Timestamp,Battery Life (%),Voltage (V),Battery Current (A),Solar Current (A)
17:03:03.141,100.00,25.01,0.39,0.18
17:03:04.522,100.00,25.01,0.39,0.18
17:03:05.902,100.00,25.01,0.38,0.18
17:03:07.282,100.00,25.02,0.39,0.18
17:03:08.662,100.00,25.02,0.39,0.18
17:03:10.042,100.00,25.02,0.40,0.18
17:03:11.422,100.00,25.02,0.39,0.18
17:03:12.802,100.00,25.02,0.40,0.18
17:03:14.182,100.00,25.02,0.40,0.27
17:03:15.564,100.00,25.02,0.40,4.67
17:03:16.942,100.00,25.02,0.40,4.83
17:03:18.322,100.00,25.02,0.40,4.80
17:03:19.702,100.00,25.02,0.41,4.78
17:03:21.082,100.00,25.02,0.41,4.84
17:03:22.462,100.00,25.02,0.41,0.67
17:03:23.842,100.00,25.02,0.41,0.19
17:03:25.223,100.00,25.02,0.41,0.19
17:03:26.602,100.00,25.02,0.41,0.19
17:03:27.982,100.00,25.02,0.41,0.19
17:03:29.363,100.00,25.02,0.41,0.19
17:03:30.742,100.00,25.03,0.41,0.19
17:03:32.122,100.00,25.03,0.41,0.18
17:03:33.502,100.00,25.03,0.41,0.18
17:03:34.882,100.00,25.03,0.41,0.18
17:03:36.263,100.00,25.03,0.41,0.18
17:03:37.642,100.00,25.03,0.41,0.18
17:03:39.022,100.00,25.03,0.41,0.18
17:03:40.403,100.00,25.03,0.41,0.18
17:03:41.783,100.00,25.03,0.41,0.18
17:03:50.063,100.00,25.03,0.41,0.18
17:03:51.443,100.00,25.03,0.41,0.18
17:03:52.823,100.00,25.03,0.41,0.18
17:03:54.203,100.00,25.03,0.41,0.18
17:03:55.583,100.00,25.03,0.42,0.19
17:03:56.963,100.00,25.03,0.41,0.19
17:03:58.343,100.00,25.03,0.41,0.19
17:03:59.723,99.96,23.65,15.03,0.18
17:04:01.103,99.80,23.54,54.84,0.15
17:04:02.483,99.64,23.52,51.65,0.15
17:04:03.863,99.50,23.52,49.35,0.15
17:04:05.243,99.36,23.50,47.72,0.15
17:04:06.622,99.22,23.48,46.97,0.15
17:04:08.003,99.09,23.46,46.24,0.15
17:04:09.383,98.95,23.44,45.99,0.15
17:04:10.762,98.82,23.42,45.30,0.15
17:04:12.142,98.69,23.40,45.39,0.15
17:04:13.523,98.56,23.39,45.31,0.15
17:04:14.903,98.42,23.36,45.36,0.15
17:04:16.283,98.29,23.33,45.53,0.15
17:04:17.666,98.16,23.33,45.27,0.15
17:04:19.043,98.03,23.31,45.03,0.15
17:04:20.422,97.89,23.30,45.15,0.15
17:04:21.804,97.76,23.25,45.56,0.15
17:04:23.183,97.63,23.27,45.11,0.15
17:04:24.563,97.50,23.23,45.36,0.15
17:04:25.943,97.36,23.22,45.30,0.15
17:04:27.323,97.23,23.22,44.88,0.15
17:04:28.725,97.10,23.20,44.86,0.15
17:04:30.083,96.97,23.20,45.00,0.15
17:04:31.463,96.84,23.17,44.91,0.15
17:04:32.842,96.71,23.16,45.46,0.15
17:04:34.223,96.57,23.13,45.13,0.15
17:04:35.603,96.44,23.09,45.88,0.15
17:04:36.983,96.30,23.10,46.20,0.15
17:04:38.364,96.17,23.05,46.37,0.15
17:04:39.743,96.03,23.07,46.17,0.15
17:04:41.123,95.90,23.08,45.76,0.15
17:04:42.503,95.77,23.08,44.55,0.15
17:04:43.882,95.64,23.08,44.83,0.15
17:04:45.264,95.51,23.08,44.18,0.16
17:04:46.643,95.38,23.06,44.10,0.15
17:04:48.026,95.25,23.04,44.71,0.15
17:04:49.403,95.12,23.04,44.20,0.15
17:04:50.784,94.99,23.02,44.37,0.15
17:04:52.162,94.86,23.02,43.86,0.15
17:04:53.543,94.84,24.19,6.98,0.17
17:04:54.923,94.84,24.23,1.94,0.17
17:04:56.303,94.83,24.25,2.49,0.17
17:04:57.683,94.82,24.27,3.06,0.17
17:05:04.584,94.77,24.35,3.53,0.17
17:05:07.343,94.75,24.36,3.75,0.17
17:05:08.734,94.74,24.36,3.85,0.17
17:05:10.102,94.73,24.38,3.84,0.17
17:05:11.485,94.70,24.16,7.58,0.17
17:05:12.863,94.63,23.78,23.84,0.17
17:05:15.625,94.48,23.72,26.07,0.16
17:05:17.003,94.41,23.69,26.18,0.17
17:05:18.384,94.33,23.68,26.17,0.17
17:05:19.764,94.25,23.66,25.92,0.16
17:05:22.524,94.10,23.65,25.71,0.16
17:05:23.904,94.03,23.65,25.09,0.15
17:05:26.665,93.89,23.67,23.76,0.15
17:05:29.422,93.75,23.68,22.84,0.15
17:05:32.183,93.62,23.67,22.71,0.15
17:05:33.564,93.55,23.67,22.69,0.15
17:05:34.944,93.49,23.67,22.61,0.15
17:05:36.324,93.42,23.66,22.77,0.15
17:05:37.703,93.35,23.66,22.66,0.16
17:05:40.463,93.22,23.64,22.92,0.15
17:05:41.844,93.16,23.64,22.63,0.15
17:05:43.223,93.09,23.63,22.57,0.15
17:05:44.603,93.02,23.62,22.78,0.15
17:05:45.984,92.96,23.62,22.55,0.15
17:05:47.363,92.89,23.62,22.61,0.15
17:05:48.743,92.82,23.61,22.64,0.16
17:05:50.122,92.76,23.61,22.58,0.15
17:05:51.502,92.69,23.60,22.61,0.15
17:05:52.883,92.63,23.60,22.58,0.15
17:05:54.263,92.56,23.59,22.65,0.15
17:05:55.644,92.49,23.59,22.49,0.15
17:05:57.023,92.43,23.59,22.46,0.16
17:05:58.403,92.36,23.59,22.55,0.15
17:05:59.784,92.30,23.58,22.44,0.15
17:06:01.164,92.23,23.58,22.47,0.15
17:06:02.544,92.17,23.57,22.55,0.15
17:06:03.923,92.10,23.56,22.28,0.16
17:06:05.304,92.06,23.99,12.73,0.16
17:06:06.686,92.04,23.87,8.82,0.17
17:06:08.063,92.00,23.87,11.49,0.16
17:06:09.443,91.97,23.88,11.71,0.16
17:06:10.822,91.94,23.88,11.67,0.16
17:06:12.203,91.90,23.88,11.78,0.16
17:06:13.583,91.87,23.88,11.93,0.16
17:06:14.963,91.83,23.88,11.94,0.16
17:06:16.343,91.80,23.88,12.00,0.17
17:06:17.723,91.76,23.88,11.97,0.16
17:06:19.104,91.73,23.88,11.98,0.16
17:06:20.483,91.70,24.01,9.41,0.16
17:06:21.863,91.69,24.18,1.57,0.17
17:06:23.244,91.69,24.20,0.78,0.17
17:06:24.624,91.69,24.21,0.85,0.17
17:06:26.005,91.69,24.22,0.96,0.17
17:06:27.383,91.68,24.22,0.99,0.17
17:06:28.765,91.68,24.23,1.05,0.17
17:06:30.144,91.68,24.23,1.06,0.17
17:06:31.524,91.67,24.23,1.09,0.17
17:06:32.904,91.67,24.24,1.09,0.17
17:06:34.283,91.67,24.24,1.13,0.17
17:06:35.664,91.66,24.25,1.10,0.17
17:06:37.044,91.66,24.25,1.16,0.17
17:06:38.424,91.66,24.25,1.16,0.17
17:06:39.803,91.65,24.25,1.07,0.17
17:06:41.186,91.65,24.25,1.17,0.17
17:06:42.563,91.65,24.25,1.04,0.17
17:06:43.944,91.64,24.25,1.04,0.17
17:06:45.324,91.64,24.25,1.10,0.17
17:06:46.704,91.64,24.26,1.11,0.17
17:06:48.084,91.64,24.26,1.07,0.17
17:06:49.467,91.63,24.26,1.06,0.17
17:06:50.843,91.63,24.26,1.13,0.17
17:06:52.224,91.63,24.26,1.20,0.17
17:06:53.604,91.62,24.27,1.14,0.17
17:06:54.984,91.62,24.27,1.10,0.17
17:06:56.363,91.62,24.27,1.16,0.17
17:06:57.744,91.61,24.27,1.05,0.17
17:06:59.124,91.61,24.27,1.19,0.17
17:07:00.505,91.61,24.27,1.11,0.17
17:07:01.884,91.60,24.27,1.13,0.17
17:07:03.264,91.60,24.27,1.18,0.17
17:07:04.644,91.60,24.27,1.19,0.17
17:07:06.024,91.59,24.27,1.16,0.17
17:07:07.404,91.59,24.27,1.13,0.16
17:07:08.784,91.59,24.27,1.18,0.17
17:07:10.164,91.58,24.27,1.15,0.17
17:07:11.544,91.58,24.28,1.15,0.17
17:07:12.924,91.58,24.27,1.14,0.17
17:07:14.304,91.57,24.27,1.15,0.17
17:07:15.684,91.57,24.28,1.14,0.16
17:07:17.064,91.57,24.28,1.13,0.17
17:07:18.444,91.56,24.28,1.15,0.17
17:07:19.824,91.56,24.28,1.13,0.17
17:07:21.204,91.56,24.28,1.14,0.17
17:07:22.584,91.55,24.28,1.14,0.17
17:07:23.964,91.55,24.28,1.14,0.17
17:07:25.345,91.53,23.90,4.73,0.17
17:07:26.723,91.48,23.70,17.86,0.16
17:07:28.103,91.41,23.63,24.80,0.16
17:07:29.485,91.31,23.26,32.55,0.15
17:07:30.864,91.20,23.06,38.95,0.15
17:07:32.244,91.13,24.07,24.32,0.16
17:07:33.626,91.13,24.12,0.95,0.17
17:07:35.003,91.12,24.15,0.94,0.17
17:07:36.383,91.12,24.17,0.58,1.76
17:07:37.763,91.12,24.19,0.58,5.79
17:07:39.144,91.12,24.20,0.57,5.81
17:07:40.524,91.12,24.21,0.58,5.90
17:07:41.904,91.12,24.22,0.58,6.10
17:07:43.285,91.12,24.22,0.58,6.31
17:07:44.665,91.12,24.23,0.58,6.48
17:07:46.043,91.12,24.23,0.58,6.70
17:07:47.424,91.12,24.24,0.57,6.90
17:07:48.805,91.12,24.24,0.57,7.07
17:07:50.184,91.12,24.25,0.57,7.25
17:07:51.565,91.12,24.25,0.57,7.42
17:07:52.944,91.12,24.25,0.57,7.61
17:07:54.324,91.12,24.25,0.57,7.73
17:07:55.705,91.12,24.25,0.57,7.92
17:07:57.084,91.12,24.26,0.57,8.09
17:07:58.464,91.12,24.26,0.57,5.92
17:07:59.844,91.12,24.26,0.57,7.35
17:08:01.224,91.12,24.27,0.57,8.41
17:08:02.604,91.12,24.27,0.57,8.46
17:08:03.984,91.12,24.27,0.57,8.46
17:08:05.364,91.12,24.27,0.57,8.47
17:08:06.744,91.12,24.27,0.57,8.53
17:08:08.125,91.12,24.28,0.57,8.54
17:08:09.505,91.12,24.28,0.57,8.64
17:08:10.884,91.12,24.28,0.57,8.79
17:08:12.264,91.12,24.28,0.57,8.86
17:08:13.644,91.12,24.29,0.57,8.96
17:08:15.024,91.12,24.29,0.57,9.04
17:08:16.406,91.12,24.28,0.57,9.10
17:08:17.784,91.12,24.28,0.56,9.25
17:08:19.164,91.12,24.28,0.56,9.40
17:08:20.544,91.12,24.28,0.56,9.40
17:08:21.924,91.12,24.28,0.56,9.52
17:08:23.305,91.12,24.28,0.56,9.56
17:08:24.685,91.12,24.28,0.57,9.70
17:08:26.064,91.12,24.28,0.57,9.68
17:08:27.444,91.12,24.28,0.56,9.59
17:08:28.824,91.12,24.28,0.56,9.64
17:08:30.204,91.12,24.28,0.56,9.70
17:08:31.584,91.12,24.28,0.56,9.63
17:08:32.964,91.12,24.28,0.56,9.61
17:08:34.344,91.12,24.28,0.57,9.63
17:08:35.724,91.12,24.28,0.57,9.59
17:08:37.105,91.12,24.28,0.57,9.58
17:08:38.485,91.12,24.28,0.57,9.58
17:08:39.864,91.12,24.28,0.57,9.59
17:08:41.244,91.12,24.28,0.57,9.60
17:08:42.624,91.12,24.28,0.56,9.56
17:08:44.004,91.12,24.28,0.56,9.56
17:08:45.384,91.12,24.28,0.56,9.54
17:08:46.764,91.12,24.28,0.56,9.56
17:08:48.144,91.12,24.28,0.56,9.62
17:08:49.525,91.12,24.28,0.56,9.69
17:08:50.906,91.12,24.28,0.56,9.72
17:08:52.284,91.12,24.28,0.56,9.68
17:08:53.664,91.12,24.28,0.56,9.75
17:08:55.045,91.12,24.28,0.56,9.81
17:08:56.425,91.12,24.28,0.57,9.81
17:08:57.805,91.12,24.28,0.56,9.84
17:08:59.184,91.12,24.28,0.56,9.84
17:09:00.564,91.12,24.28,0.56,9.87
17:09:01.944,91.12,24.28,0.56,9.88
17:09:03.329,91.12,24.28,0.56,9.94
17:09:04.705,91.12,24.28,0.56,9.82
17:09:06.085,91.12,24.29,0.56,9.78
17:09:07.464,91.12,24.28,0.56,9.67
17:09:08.844,91.12,24.28,0.56,9.78
17:09:10.225,91.12,24.28,0.56,9.72
17:09:11.605,91.12,24.28,0.57,9.71
17:09:12.984,91.12,24.28,0.56,9.65
17:09:14.364,91.12,24.29,0.56,9.63
17:09:15.744,91.12,24.29,0.56,9.71
17:09:17.125,91.12,24.29,0.56,9.68
17:09:18.504,91.12,24.29,0.56,9.75
17:09:19.884,91.12,24.29,0.56,9.73
17:09:21.265,91.12,24.29,0.56,9.71
17:09:22.644,91.12,24.29,0.56,9.73
17:09:24.024,91.12,24.29,0.56,9.67
17:09:25.405,91.12,24.29,0.56,9.66
17:09:26.784,91.12,24.29,0.56,9.72
17:09:28.165,91.12,24.29,0.56,9.66
17:09:29.545,91.12,24.29,0.56,9.66
17:09:30.925,91.12,24.29,0.56,9.63
17:09:32.305,91.12,24.29,0.56,9.61
17:09:33.685,91.12,24.29,0.56,9.69
17:09:36.445,91.12,24.29,0.56,9.66
17:09:37.825,91.12,24.29,0.56,9.62
17:09:39.205,91.12,24.29,0.56,9.67
17:09:40.585,91.12,24.29,0.56,9.70
17:09:41.968,91.12,24.29,0.56,9.70
17:09:43.345,91.12,24.29,0.56,9.73
17:09:44.725,91.12,24.29,0.56,9.67
17:09:46.105,91.12,24.29,0.56,9.73
17:09:47.485,91.12,24.29,0.56,9.68
17:09:48.865,91.12,24.29,0.56,9.59
17:09:50.245,91.12,24.29,0.56,9.60
17:09:51.629,91.12,24.29,0.56,9.70
17:09:55.765,91.12,24.29,0.56,9.95
17:09:57.145,91.12,24.29,0.56,9.92
17:09:59.905,91.12,24.29,0.56,10.04
17:10:02.666,91.12,24.29,0.56,10.22
17:10:05.425,91.12,24.29,0.56,10.22
17:10:08.186,91.12,24.29,0.56,10.30
17:10:28.903,91.12,24.29,0.56,10.02
17:10:35.786,91.12,24.29,0.56,9.90
17:10:46.828,91.12,24.30,0.56,9.79
17:11:25.468,91.12,24.30,0.57,6.14
17:12:56.547,91.12,24.29,0.58,0.18
17:12:57.926,91.12,24.29,0.58,0.18
17:13:29.669,91.12,24.29,0.57,6.03
17:13:46.228,91.12,24.29,0.57,5.88
17:14:08.310,91.12,24.29,0.57,6.13
17:14:12.447,91.12,24.29,0.57,6.16
17:14:13.828,91.12,24.29,0.57,6.12
17:14:16.587,91.12,24.29,0.57,6.12
17:14:17.968,91.12,24.29,0.57,6.08
17:14:23.490,91.12,24.29,0.57,6.10
17:14:24.867,91.12,24.29,0.57,6.14
17:14:26.247,91.12,24.29,0.57,6.05
17:14:30.387,91.12,24.29,0.57,6.08
17:14:37.288,91.12,24.29,0.57,6.14
17:14:40.049,91.12,24.29,0.57,6.15
17:14:41.427,91.12,24.29,0.57,6.11
17:14:42.807,91.12,24.29,0.57,6.10
17:14:45.568,91.12,24.29,0.57,6.05
17:14:46.952,91.12,24.29,0.57,6.00
17:14:48.327,91.12,24.29,0.57,6.00
17:14:51.087,91.12,24.29,0.57,5.96
17:14:56.608,91.12,24.30,0.57,5.94
17:14:57.987,91.12,24.30,0.57,5.93
17:14:59.368,91.12,24.30,0.57,5.85
17:15:00.748,91.12,24.29,0.58,5.81
17:15:04.888,91.12,24.29,0.58,5.75
17:15:06.267,91.12,24.29,0.58,5.77
17:15:07.647,91.12,24.29,0.58,5.77
17:15:09.027,91.12,24.28,0.58,5.77
17:15:10.408,91.12,24.28,0.58,5.79
17:15:14.549,91.12,24.28,0.58,11.03
17:15:20.069,91.12,24.28,0.57,11.51
17:15:21.447,91.12,24.28,0.58,11.36
17:15:22.828,91.12,24.29,0.57,11.22
17:15:24.208,91.12,24.29,0.57,11.05
17:15:25.588,91.12,24.29,0.57,10.81
17:15:26.968,91.12,24.29,0.57,10.56
17:15:28.347,91.12,24.29,0.57,10.06
17:15:29.727,91.12,24.29,0.57,9.47
17:15:31.107,91.12,24.29,0.56,9.35
17:15:33.868,91.12,24.29,0.57,8.91
17:15:35.248,91.12,24.29,0.56,8.69
17:15:36.628,91.12,24.29,0.57,8.43
17:15:38.007,91.12,24.30,0.56,8.20
17:15:39.387,91.12,24.30,0.57,7.93
17:15:40.767,91.12,24.29,0.57,7.71
17:15:42.147,91.12,24.30,0.56,7.45
17:15:44.907,91.12,24.29,0.56,7.01
17:15:46.287,91.12,24.29,0.56,6.81
17:15:50.429,91.12,24.30,0.56,6.21
17:15:51.807,91.12,24.30,0.56,6.02
17:15:53.188,91.12,24.30,0.56,5.77
17:15:54.567,91.12,24.30,0.56,5.69
17:15:55.947,91.12,24.30,0.57,5.87
17:15:57.328,91.12,24.31,0.56,6.36
17:15:58.708,91.12,24.31,0.57,6.64
17:16:00.088,91.12,24.31,0.56,6.67
17:16:02.848,91.12,24.31,0.57,6.99
17:16:04.228,91.12,24.31,0.57,7.17
17:16:06.988,91.12,24.30,0.57,7.14
17:16:08.368,91.12,24.30,0.57,6.98
17:16:11.128,91.12,24.31,0.57,6.56
17:16:12.508,91.12,24.31,0.57,6.39
17:16:13.888,91.12,24.31,0.57,6.15
17:16:15.268,91.12,24.31,0.56,6.08
17:16:19.408,91.12,24.31,0.57,5.80
17:16:20.788,91.12,24.31,0.57,5.74
17:16:22.168,91.12,24.31,0.57,5.69
17:16:23.548,91.12,24.31,0.57,5.62
17:16:24.929,91.12,24.31,0.57,5.62
17:16:26.308,91.12,24.31,0.57,5.51
17:16:27.688,91.12,24.31,0.57,5.61
17:16:29.069,91.12,24.31,0.57,5.62
17:16:30.448,91.12,24.31,0.57,5.66
17:16:31.828,91.12,24.31,0.57,5.73
17:16:33.208,91.12,24.31,0.57,5.79
17:16:34.589,91.12,24.31,0.57,5.90
17:16:35.968,91.12,24.31,0.57,5.98
17:16:37.348,91.12,24.31,0.57,6.06
17:16:38.728,91.12,24.31,0.58,6.20
17:16:40.108,91.12,24.31,0.57,6.32
17:16:41.488,91.12,24.31,0.57,6.50
17:16:42.868,91.12,24.31,0.57,6.66
17:16:44.248,91.12,24.31,0.58,6.82
17:16:47.008,91.12,24.31,0.58,3.61
17:16:48.388,91.12,24.31,0.57,0.18
17:16:52.528,90.80,22.79,54.96,0.13
17:16:53.909,90.65,22.70,54.08,0.13
17:16:55.292,90.49,22.66,53.92,0.13
17:16:56.668,90.33,22.63,53.00,0.13
17:16:58.048,90.18,22.67,50.88,0.13
17:17:00.808,89.90,22.68,47.46,0.13
17:17:04.949,89.50,22.63,46.06,0.14
17:17:06.328,89.37,22.61,45.52,0.14
17:17:07.708,89.23,22.60,46.14,0.14
17:17:09.088,89.10,22.58,45.81,0.13
17:17:10.468,88.96,22.56,45.60,0.14
17:17:11.848,88.83,22.56,45.63,0.13
17:17:13.229,88.70,22.54,45.75,0.14
17:17:14.608,88.56,22.52,45.58,0.14
17:17:15.988,88.43,22.50,45.20,0.14
17:17:17.368,88.30,22.49,45.11,0.14
17:17:18.748,88.29,23.68,5.00,0.17
17:17:20.128,88.29,23.73,0.47,0.17
17:17:21.508,88.29,23.77,0.47,0.17
17:17:22.888,88.29,23.81,0.47,0.17
17:17:24.268,88.29,23.83,0.47,0.17
17:17:25.648,88.29,23.85,0.47,0.17
17:17:27.028,88.29,23.87,0.47,0.17
17:17:28.408,88.29,23.89,0.47,0.17
17:17:29.789,88.29,23.90,0.47,0.17
17:17:31.169,88.29,23.91,0.47,0.17
17:17:32.549,88.29,23.92,0.47,0.17
17:17:33.928,88.29,23.93,0.47,0.17
17:17:35.309,88.29,23.94,0.47,0.17
17:17:36.689,88.29,23.95,0.47,0.17
17:17:38.069,88.23,22.63,17.90,0.16
17:17:39.449,88.08,22.59,52.80,0.12
17:17:40.829,87.94,22.60,48.91,0.13
17:17:42.208,87.89,23.77,14.41,0.16
17:17:43.589,87.89,23.81,0.48,0.17
17:17:44.969,87.89,23.84,0.48,0.17
17:17:46.348,87.89,23.86,0.48,0.17
17:17:47.728,87.89,23.88,0.48,0.17
17:17:49.109,87.89,23.89,0.48,0.17
17:17:50.488,87.89,23.90,0.48,0.17
17:17:51.869,87.89,23.91,0.48,0.17
17:17:53.251,87.89,23.92,0.48,0.17
17:17:54.629,87.89,23.93,0.48,0.17
17:17:56.008,87.89,23.93,0.48,0.17
17:17:57.388,87.89,23.94,0.48,0.17
17:17:58.769,87.89,23.94,0.48,0.17
17:18:00.148,87.89,23.95,0.48,0.17
17:18:01.529,87.89,23.95,0.48,0.16
17:18:02.909,87.89,23.95,0.48,0.16
17:18:04.289,87.89,23.96,0.48,0.16
17:18:05.668,87.89,23.96,0.48,0.16
